Organization,Parent,Amount FEC,IRS Exempt?,Type,Cycle
Americans for Constitutional Liberty,,8114446,Y,501(c)(4),2024
Ohio Works,,4247967,N,501(c)(4),2024
Campaign for a Family Friendly Economy,,3582513,N,501(c)(4),2024
National Assn of Realtors,,2281347,Y,501(c)(6),2024
Defending Democracy Together,,2066613,N,501(c)(4),2024
Black Progressive Action Coalition,Black PAC,1982480,N,501(c)(4),2024
Building America's Future,,1801685,N,501(c)(4),2024
Progress North Carolina Action,,1482017,N,501(c)(4),2024
Montana Rural Voters,,1416550,N,501(c)(4),2024
Somos Votantes,Campaign for a Family Friendly Economy,1291930,N,501(c)(4),2024
Votevets.Org Action Fund,VoteVets.org,1209187,N,501(c)(4),2024
Climate Emergency Advocates,,1177256,N,501(c)(4),2024
MomsRising Together,MomsRising,919954,N,501(c)(4),2024
Case Action Fund,,906104,N,501(c)(4),2024
ParentsTogether Action,,831665,N,501(c)(4),2024
Alliance for Youth Action,,823216,Y,501(c)(4),2024
Rebuild USA,AFL-CIO,761598,N,501(c)(4),2024
Voces de la Frontera Action,,753793,Y,501(c)(4),2024
Fair Future North Carolina,,733631,N,501(c)(4),2024
American Chemistry Council,,715923,Y,501(c)(6),2024
Planned Parenthood Advocates of Wisconsin,Planned Parenthood,706732,N,501(c)(4),2024
National Assn of Home Builders,,700000,N,501(c)(6),2024
United for Democracy,,696939,N,501(c)(4),2024
National Women's Law Center Action Fund,National Women's Law Center,690301,N,501(c)(4),2024
Stand Up America,,688536,N,501(c)(4),2024
Center for Voter Information,Voter Participation Center,572360,Y,501(c)(4),2024
Brighter Future Alliance,,514090,N,501(c)(4),2024
Wisconsin Principles Inc,,504500,N,501(c)(4),2024
Big Sky 55+,,503221,N,501(c)(4),2024
Democratic Majority for Israel,,458100,N,501(c)(4),2024
Animal Wellness Action,,418547,N,501(c)(4),2024
60 Plus Assn,,408295,N,501(c)(4),2024
National Security Action,,383500,N,501(c)(4),2024
Wilderness Society Action Fund,Wilderness Society,350008,N,501(c)(4),2024
Ohio Organizing Campaign,,328262,N,501(c)(4),2024
American Encore,,325000,N,501(c)(4),2024
Independent Veterans of America,,322600,N,501(c)(4),2024
Faith Voters for Good,,316211,N,501(c)(4),2024
Mi Familia Vota,,310400,N,501(c)(4),2024
National Wildlife Federation Action Fund,National Wildlife Federation,309805,Y,501(c)(4),2024
In Union USA Action,In Union USA,300992,N,501(c)(4),2024
United We Dream Action,United We Dream,293833,N,501(c)(4),2024
EarthJustice Action,Earthjustice Legal Defense Fund,293572,N,501(c)(4),2024
