org,org_type,ein,name,exempt_type,match_confidence,filer_name,filer_name_norm,method,verified,details
Americans for Constitutional Liberty,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Ohio Works,4.0,991805086.0,Ohio Works,,97.88469,Ohio Works,ohio works,manual,,
Ohio Works,4.0,820990131.0,Ohio Works,4.0,97.88469,,,manual,,
Ohio Works,4.0,341900652.0,Alliance Of Ohio Work Centers,4.0,62.358486,,,manual,,
Ohio Works,4.0,331202355.0,Ohio School Social Work Association,6.0,62.358486,,,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,341336943.0,Work In Northeast Ohio Council,3.0,62.358486,,,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,311395941.0,The Works Ohio Center Of History Art & Technology,3.0,57.879066,THE WORKS - OHIO CENTER FOR,works ohio center,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,311636384.0,High Schools That Work Sw Ohio,3.0,53.798336,HIGH SCHOOLS THAT WORK SW OHIO,high schools that work sw ohio,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,342039514.0,Ohio River Valley Clinical Social Work Society,6.0,53.2456,OHIO RIVER VALLEY CLINICAL SOCIAL WORK,ohio river valley clinical social work,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,922412671.0,Work Force Enrichment And Development Board Mid Ohio Valley,3.0,46.45867,,,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,311264978.0,Work For Jesus,3.0,21.488453,,,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,262117165.0,The Ohio State University,3.0,13.048029,,,auto,0.0,Not included in top 3 results.
Ohio Works,4.0,311296198.0,The Ohio State University,3.0,13.048029,,,auto,0.0,Not included in top 3 results.
Campaign for a Family Friendly Economy,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
National Assn of Realtors,6.0,320459637.0,Institute Of Real Estate Management Of The National Asso Of Realtors,6.0,71.44487,,,manual,,
National Assn of Realtors,6.0,812022152.0,Inst Of Real Estate Mgmt Of National Asso Of Realtors-las Vega,6.0,67.11114,Inst of Real Estate Mgmt of National Asso of Realtors-Las Vegas,inst real estate mgmt national asso realtors las vegas,manual,,
Defending Democracy Together,4.0,823877328.0,Defending Democracy Together,4.0,179.71786,DEFENDING DEMOCRACY TOGETHER,defending democracy together,manual,,
Defending Democracy Together,4.0,831567380.0,Defending Democracy Together Institute,3.0,162.89017,DEFENDING DEMOCRACY TOGETHER INSTITUTE,defending democracy together institute,manual,,
Black Progressive Action Coalition,4.0,821514760.0,Black Progressive Action Coalition,4.0,161.01556,BLACK PROGRESSIVE ACTION COALITION,black progressive action coalition,manual,,
Black Progressive Action Coalition,4.0,882674250.0,Black Progressive Action Coalition Education Fund,3.0,135.62709,BLACK PROGRESSIVE ACTION COALITION EDUCATION FUND,black progressive action coalition education fund,manual,,
Building America's Future,4.0,300469364.0,Building Americas Future,4.0,110.17056,Building Americas Future,building americas future,manual,,
Building America's Future,4.0,842659009.0,America Building Futures,3.0,98.7874,,,manual,,
Building America's Future,4.0,851359192.0,Building America S Future,4.0,96.06672,BUILDING AMERICA'S FUTURE,building america s future,manual,,
Building America's Future,4.0,271976324.0,Building Americas Future Educational Fund,3.0,91.32191,Building Americas Future Educational,building americas future educational,auto,0.0,Not included in top 3 results.
Progress North Carolina Action,4.0,452862217.0,Progress North Carolina Action,4.0,152.52237,PROGRESS NORTH CAROLINA ACTION,progress north carolina action,manual,,
Montana Rural Voters,4.0,810343766.0,Montana League Of Rural Voters,4.0,124.05373,,,manual,,
Somos Votantes,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Votevets.Org Action Fund,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Climate Emergency Advocates,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
MomsRising Together,4.0,204448446.0,Momsrising Together,4.0,160.81952,MOMSRISING TOGETHER,momsrising together,manual,,
Case Action Fund,4.0,873520326.0,Marguerite Casey Action Fund,4.0,95.60245,MARGUERITE CASEY ACTION FUND,marguerite casey action fund,manual,,
ParentsTogether Action,4.0,812699957.0,Parentstogether Action,4.0,154.83008,ParentsTogether Action,parentstogether action,manual,,
Alliance for Youth Action,4.0,462914731.0,Alliance For Youth Action,4.0,116.320465,ALLIANCE FOR YOUTH ACTION,alliance youth action,manual,,
Rebuild USA,4.0,611800010.0,Rebuild Japan Initiative Foundation Usa Inc,3.0,75.0258,REBUILD JAPAN INITIATIVE,rebuild japan initiative,manual,,
Voces de la Frontera Action,4.0,20759160.0,Voces De La Frontera Action Inc,4.0,192.1979,,,manual,,
Fair Future North Carolina,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
American Chemistry Council,6.0,530104410.0,American Chemistry Council,6.0,122.14472,AMERICAN CHEMISTRY COUNCIL,american chemistry council,manual,,
Planned Parenthood Advocates of Wisconsin,4.0,391678012.0,Planned Parenthood Advocates Of Wisconsin Inc,4.0,177.92053,PLANNED PARENTHOOD ADVOCATES OF,planned parenthood advocates,manual,,
National Assn of Home Builders,6.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
United for Democracy,4.0,931395796.0,United For Democracy,4.0,110.42469,UNITED FOR DEMOCRACY,united democracy,manual,,
United for Democracy,4.0,833372062.0,Americans United For Democracy Inc,4.0,91.51838,AMERICANS UNITED FOR DEMOCRACY INC,americans united democracy,manual,,
United for Democracy,4.0,820742397.0,Jews United For Democracy & Justice,3.0,91.51838,,,manual,,
United for Democracy,4.0,933138465.0,United For Democracy And Liberty,3.0,91.51838,,,auto,0.0,Not included in top 3 results.
United for Democracy,4.0,414753488.0,United For Democracy Resource Fund,3.0,91.51838,,,auto,0.0,Not included in top 3 results.
United for Democracy,4.0,824845682.0,United Lao Council For Democracy,3.0,89.144485,,,auto,0.0,Not included in top 3 results.
United for Democracy,4.0,844253653.0,Unite All Workers For Democracy,5.0,86.71889,UNITE ALL WORKERS FOR DEMOCRACY,unite all workers democracy,auto,0.0,Not included in top 3 results.
United for Democracy,4.0,272845546.0,United Lao For Human Rights And Democracy,3.0,73.42785,,,auto,0.0,Not included in top 3 results.
United for Democracy,4.0,822363231.0,Lao United For Democracy And Independence In Laos,3.0,72.82718,LAO UNITED FOR DEMOCRACY AND INDEPENDENCE IN LAOS,lao united democracy independence in laos,auto,0.0,Not included in top 3 results.
National Women's Law Center Action Fund,4.0,460639645.0,National Womens Law Center Action Fund,4.0,153.64928,NATIONAL WOMEN'S LAW CENTER ACTION FUND,national women s law center action fund,manual,,
Stand Up America,4.0,320512546.0,Stand Up America Inc,4.0,116.006836,STAND UP AMERICA INC,stand up america,manual,,
Stand Up America,4.0,261907502.0,Stand Up America Us Foundation,4.0,106.076904,STAND UP AMERICA US FOUNDATION,stand up america us foundation,manual,,
Stand Up America,4.0,204704132.0,Stand Up For America Inc,3.0,106.076904,STAND UP FOR AMERICA FOUNDATION INC,stand up america foundation,manual,,
Stand Up America,4.0,651318121.0,Stand Up And Sing For America,3.0,97.71506,,,auto,0.0,Not included in top 3 results.
Stand Up America,4.0,841671326.0,Blbf&g Foundation Inc,3.0,29.530228,,,auto,0.0,Not included in top 3 results.
Center for Voter Information,4.0,30554750.0,Center For Voter Information,4.0,140.63037,,,manual,,
Brighter Future Alliance,4.0,455076442.0,Brighter Future Alliance,4.0,130.66824,Brighter Future Alliance,brighter future alliance,manual,,
Brighter Future Alliance,4.0,331481747.0,Bright Future Alliances,3.0,108.48532,,,manual,,
Brighter Future Alliance,4.0,994570874.0,Bright Futures Alliance,3.0,105.494965,,,manual,,
Brighter Future Alliance,4.0,992971194.0,Bright Futures Alliance Inc,3.0,95.61635,,,auto,0.0,Not included in top 3 results.
Brighter Future Alliance,4.0,464283998.0,Alliance For A Bright Future Inc,3.0,86.02816,ALLIANCE FOR A BRIGHT FUTURE INC,alliance bright future,auto,0.0,Not included in top 3 results.
Wisconsin Principles Inc,4.0,992011538.0,Wisconsin Principles Inc,4.0,120.42828,WISCONSIN PRINCIPLES INC,wisconsin principles,manual,,
Big Sky 55+,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Democratic Majority for Israel,4.0,833298146.0,Democratic Majority For Israel D/b/a Dmfi,4.0,142.54271,DEMOCRATIC MAJORITY FOR ISRAEL,democratic majority israel,manual,,
Animal Wellness Action,4.0,825477192.0,Animal Wellness Action,4.0,125.79686,ANIMAL WELLNESS ACTION,animal wellness action,manual,,
60 Plus Assn,4.0,911660549.0,Vancouver Metro Senior 60 Plus Softball Association,3.0,26.945213,,,manual,,
National Security Action,4.0,822007387.0,National Security Action,4.0,123.813736,NATIONAL SECURITY ACTION,national security action,manual,,
Wilderness Society Action Fund,4.0,821742996.0,Wilderness Society Action Fund,4.0,140.84282,WILDERNESS SOCIETY ACTION FUND,wilderness society action fund,manual,,
Ohio Organizing Campaign,4.0,263064170.0,Ohio Organizing Campaign,4.0,154.84259,THE OHIO ORGANIZING CAMPAIGN,ohio organizing campaign,manual,,
American Encore,4.0,264683543.0,American Encore Inc,4.0,92.64645,American Encore,american encore,manual,,
American Encore,4.0,471094731.0,American Vaulters Association,3.0,24.596905,,,manual,,
Independent Veterans of America,4.0,993614737.0,Independent Veterans Of America Action,4.0,96.25394,Independent Veterans of America Action,independent veterans america action,manual,,
Faith Voters for Good,4.0,923060032.0,Faith Voters For Good,4.0,141.82791,,,manual,,
Mi Familia Vota,4.0,810668995.0,Mi Familia Vota,4.0,144.40425,MI FAMILIA VOTA,mi familia vota,manual,,
Mi Familia Vota,4.0,200182824.0,Mi Familia Vota Education Fund,3.0,119.680786,MI FAMILIA EN ACCION,mi familia en accion,manual,,
National Wildlife Federation Action Fund,4.0,742556532.0,National Wildlife Federation Action Fund,4.0,151.26276,NATIONAL WILDLIFE FEDERATION ACTION FUND,national wildlife federation action fund,manual,,
In Union USA Action,4.0,851983868.0,In Union Usa Action,4.0,125.77232,In Union USA Action,in union usa action,manual,,
United We Dream Action,4.0,465216666.0,United We Dream Action,4.0,147.2163,UNITED WE DREAM ACTION,united we dream action,manual,,
EarthJustice Action,4.0,821981944.0,Earthjustice Action,4.0,152.2021,EARTHJUSTICE ACTION,earthjustice action,manual,,
NRDC Action Fund,4.0,133976062.0,Nrdc Action Fund Inc,4.0,145.7248,NRDC ACTION FUND INC,nrdc action fund,manual,,
MI Poder,4.0,881133984.0,Mi Poder,4.0,131.78546,MI PODER,mi poder,manual,,
Community Water Center Action Fund,4.0,824259151.0,Community Water Center Action Fund,4.0,131.87033,Community Water Center Action Fund,community water center action fund,manual,,
FLIC Votes,4.0,812185907.0,Flic Votes Inc,4.0,130.33096,FLIC VOTES INC,flic votes,manual,,
Association of Equipment Manufacturers,6.0,311796607.0,Association Of Equipment Manufacturers,6.0,140.54439,ASSOCIATION OF EQUIPMENT MANUFACTURERS,association equipment manufacturers,manual,,
Association of Equipment Manufacturers,6.0,880468000.0,Association Of Gaming Equipment Manufacturers,6.0,128.5142,ASSOCIATION OF GAMING EQUIPMENT,association gaming equipment,manual,,
Association of Equipment Manufacturers,6.0,362682080.0,Association Of Vacuum Equipment Manufacturers,6.0,128.5142,ASSOCIATION OF VACUUM EQUIPMENT,association vacuum equipment,manual,,
Association of Equipment Manufacturers,6.0,740490861.0,Association Of Well Head Equipment Manufacturers,6.0,118.38374,,,auto,0.0,Not included in top 3 results.
Association of Equipment Manufacturers,6.0,366082586.0,North American Association Of Food Equipment Manufacturers,6.0,109.73544,NORTH AMERICAN ASSOCIATION OF FOOD,north american association food,auto,0.0,Not included in top 3 results.
NILC Immigrant Justice Fund,4.0,462030419.0,Nilc Immigrant Justice Fund,4.0,182.86246,NILC IMMIGRANT JUSTICE FUND,nilc immigrant justice fund,manual,,
POWER Action Fund,4.0,861492251.0,Power Action Fund,4.0,115.95639,POWER ACTION FUND,power action fund,manual,,
POWER Action Fund,4.0,854015096.0,State Power Action Fund,4.0,105.09787,STATE POWER ACTION FUND,state power action fund,manual,,
POWER Action Fund,4.0,990601841.0,Permit Power Action Fund,4.0,105.09787,PERMIT POWER ACTION FUND,permit power action fund,manual,,
POWER Action Fund,4.0,880986505.0,Power Rising Action Fund,4.0,105.09787,POWER RISING ACTION FUND,power rising action fund,auto,0.0,Not included in top 3 results.
POWER Action Fund,4.0,933273844.0,California Black Power Network Action Fund,4.0,88.5264,CALIFORNIA BLACK POWER NETWORK ACTION,california black power network action,auto,0.0,Not included in top 3 results.
Women's March,4.0,814571869.0,Womens March Inc,4.0,95.804825,Womens March Inc,womens march,manual,,
Women's March,4.0,842824858.0,Lincoln Womens March,3.0,95.804825,,,manual,,
Women's March,4.0,823765799.0,Womens March Minnesota,3.0,95.804825,Womens March Minnesota,womens march minnesota,manual,,
Women's March,4.0,933928663.0,Womens March Jacksonville,3.0,95.804825,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,863322891.0,Womens March Network,3.0,92.944595,Womens March Network,womens march network,auto,0.0,Not included in top 3 results.
Women's March,4.0,990502979.0,Idaho Womens March Inc,3.0,90.8275,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,832412272.0,Womxns March Denver,3.0,89.698,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,815278035.0,Womens March Alliance Corp,3.0,89.22778,WOMENS MARCH ALLIANCE CORP,womens march alliance,auto,0.0,Not included in top 3 results.
Women's March,4.0,821448762.0,Womens March Global Inc,3.0,86.83108,WOMEN'S MARCH GLOBAL,women s march global,auto,0.0,Not included in top 3 results.
Women's March,4.0,823088868.0,Womens March West Virginia,4.0,86.83108,WOMENS MARCH WEST VIRGINIA,womens march west virginia,auto,0.0,Not included in top 3 results.
Women's March,4.0,822735955.0,Womens March Of Houston,3.0,86.83108,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,821878381.0,Womens March San Diego,3.0,86.83108,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,845026842.0,Womens March Kern County,3.0,86.83108,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,825181296.0,Womens March Wisconsin,4.0,86.75287,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,844882468.0,South Queens Womens March Inc,3.0,79.39689,South Queens Womens March Inc,south queens womens march,auto,0.0,Not included in top 3 results.
Women's March,4.0,821167199.0,Women S March Mi,3.0,79.082085,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,593568706.0,Pelican Marsh Womens League,7.0,74.99986,Pelican Marsh Women's League,pelican marsh women s league,auto,0.0,Not included in top 3 results.
Women's March,4.0,823898805.0,Womens March On Washington Indiana Incorporated,3.0,69.855095,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,510203859.0,Marco Island Womans Club,4.0,69.46486,Marco Island Womans Club Inc,marco island womans club,auto,0.0,Not included in top 3 results.
