org,org_type,ein,name,exempt_type,match_confidence,filer_ein,filer_name,filer_name_norm,method,verified,details,date_accessed
215 People's Alliance,4,813511044,215 Peoples Alliance,4,144.59,813511044,215 Peoples Alliance,215 peoples alliance,auto - reviewed,1,"Exact matches across the board, and only match identified.",2026-08-06
350.org Action Fund,4,261181604,350 Org Action Fund,4,173.65,261181604,350ORG ACTION FUND,350org action fund,auto - reviewed,1,"Exact matches across the board, and only match identified.",2026-08-06
45 Cmte,4,,,,,,,,manual,1,"Although not found in ProPublica's NonProfit Explorer search method, the associated OpenSecret link revealed the EIN: https://www.opensecrets.org/outside-spending/political-nonprofits/summary?id=473803487

This EIN does map to a group in our database, the IRS990 search, and in the NonProfit Explorer: https://projects.propublica.org/nonprofits/organizations/473803487",2026-08-06
60 Plus Assn,4,911660549,Vancouver Metro Senior 60 Plus Softball Association,3,26.95,,,,manual,0,The OpenSecret link below reveals a different EIN: https://www.opensecrets.org/outside-spending/political-nonprofits/summary?id=541564919,2026-08-06
60 Plus Assn,,,,,,541564919,THE 60 PLUS ASSOCIATION INC,60 plus association,manual,1,"The OpenSecret link below revealed this EIN: https://www.opensecrets.org/outside-spending/political-nonprofits/summary?id=541564919
Additionally, this ein returns a result in IRS990 search, and the NonProfit Explorer: https://projects.propublica.org/nonprofits/organizations/541564919
",2026-08-06
A Better America Now,4,,,,,,,,manual,1,"Not found in ProPublica's NonProfit Explorer search method, or in our database, even with the EIN provided in the link below. OpenSecret indicated it was a 501c4, but it's possible that it was too old for the records to be obtained.
https://www.opensecrets.org/outside-spending/political-nonprofits/summary?id=452441810

However, a result is returned in the IRS990 search for that EIN, but it only includes determination letters.",2026-08-06
A Stronger Louisiana,4,844281129,A Stronger Louisiana,4,127.24,844281129,A STRONGER LOUISIANA,stronger louisiana,auto - reviewed,1,"Exact matches across the board, and only match identified.",2026-08-06
AARP,4,951985500,Aarp,4,68.69,951985500,AARP,aarp,manual,1,"Ultimately, this is a more exact match than the other potential match, which is why this one was selected",2026-08-08
AARP,4,237377940,Aarp,4,64.22,237377940,AARP - Chapters Group Return,aarp chapters group return,manual,0,"Although this could be a reasonable match, it doesn't match as closely as the verified match",2026-08-08
AARP,4,330016294,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,996015771,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,486130012,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237182455,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237060613,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237205398,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237247755,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237247774,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,316077328,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237328170,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237269051,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237267679,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237275540,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237279976,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237278539,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237304786,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,646037743,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237359243,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237067800,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237404730,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237383653,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237379056,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
AARP,4,237377891,Aarp,4,64.22,,,,manual,0,Identified a better match,2026-08-08
