filer_ein,filer_name,latest_cycle
010593565,The ONE Campaign,2008
010879928,CHESAPEAKE CLIMATE ACTION NETWORK ACTION,2024
020759160,VOCES DE LA FRONTERA ACTION INC,2024
030554750,CENTER FOR VOTER INFORMATION,2024
042114561,AMERICAN ASSOCIATION FOR JUSTICE,2006
043578179,OTHER 98 PERCENT ACTION INC,2024
060872695,CONNECTICUT CITIZEN ACTION GROUP INC,2006
112644562,CITIZEN ACTION OF NEW YORK INC,2022
131084330,NATIONAL ASSOCIATION OF MANUFACTURERS,2010
131385942,INTERNATIONAL BROTHERHOOD OF PAINTERS &,2024
132630359,REPRODUCTIVE FREEDOM FOR ALL,2022
133109557,Democratic Socialists of America Inc,2020
133539048,PLANNED PARENTHOOD ACTION FUND INC,2018
133871360,AMERICAN CIVIL LIBERTIES UNION INC,2024
133976062,NRDC ACTION FUND INC,2024
135665571,INDEPENDENT INSURANCE AGENTS AND BROKERS,2014
136226549,FEDERATION OF AMERICAN HOSPITALS,2018
200263611,WORKING AMERICA,2008
200748404,AMERICA'S VOICE,2016
200960855,FAMILY POLICY ALLIANCE,2020
201597444,TRUMAN NATIONAL SECURITY PROJECT,2012
201734070,THIRD WAY,2022
202303252,The Concord Fund,2018
202603413,FIDELIS,2024
204448446,MOMSRISING TOGETHER,2024
204681603,CLUB FOR GROWTH,2018
205012920,COLORADO FAMILY ACTION,2012
205050267,AVAAZ FOUNDATION,2016
205339299,OUR COMMUNITY VOTES INC,2012
205355252,ENVIRONMENT AMERICA INC,2012
207472471,National Organization For Marriage Education Fund,2014
208476893,THE CATHOLIC ASSOCIATION INC,2016
208720230,PROGRESS NOW INC,2016
208802884,EVERYTOWN FOR GUN SAFETY ACTION FUND,2018
232208281,PLANNED PARENTHOOD PENNSYLVANIA,2018
237065623,CREDIT UNION NATIONAL ASSOCIATION INC,2018
237373806,TEXAS RIGHT TO LIFE COMMITTEE INC,2018
237420660,FRIENDS OF THE EARTH,2022
260317208,Alliance for a Better Minnesota,2008
260563406,ENTERPRISE ACTION COMMITTEE,2016
260573960,Fuse Washington,2022
260596684,EDUCATION REFORM NOW ADVOCACY INC,2016
260620554,AMERICAN FUTURE FUND,2018
261181604,350ORG ACTION FUND,2016
261377619,NEW VIRGINIA MAJORITY,2020
261507828,J STREET,2022
261525298,FAIR SHARE INC,2012
261598353,EVERYTOWN FOR GUN SAFETY SUPPORT FUND,2012
261728410,CARE ACTION NOW INCORPORATED,2022
261907502,STAND UP AMERICA US FOUNDATION,2024
262118541,WINNING MESSAGE ACTION FUND INC,2008
262383617,The Hispanic Leadership Fund Inc,2012
262404352,EMPOWER IOWA FUND,2016
262613701,PEOPLE'S ACTION,2020
262731617,AMERICAN ENERGY ALLIANCE,2012
262818537,TEXAS JUSTICE FUND,2022
263064170,THE OHIO ORGANIZING CAMPAIGN,2024
263187498,ILLINOIS IMMIGRANT ACTION INC,2018
263582447,PATRIOTIC VETERANS INC,2024
263594713,AMERICAN MAJORITY ACTION,2024
263722621,KENTUCKY OPPORTUNITY COALITION INC,2014
263827419,FAITH IN PUBLIC LIFE ACTION FUND,2020
264086284,BlueGreen Alliance Inc,2010
264486735,SIXTEEN THIRTY FUND,2020
264489456,GRANITE STATE PROGRESS,2020
264568349,America Votes,2010
264613397,American Principles Project,2012
264683543,American Encore,2024
270061100,CENTER FOR COMMUNITY CHANGE ACTION,2010
270167620,FLORIDA RISING INC,2020
270182697,FAITH AND FREEDOM COALITION INC,2012
270273223,MAIN STREET ADVOCACY FUND,2018
270585219,CITIZENS FOR A WORKING AMERICA INC,2016
270730508,American Action Network Inc,2016
270860185,EQUALITY PENNSYLVANIA,2016
271398645,LIVING UNITED FOR CHANGE IN ARIZONA,2022
271408443,MAKE THE ROAD ACTION INC,2022
271460237,Californians for Human Immigrant,2018
271481855,TEXAS ORGANIZING PROJECT EDUCATION FUND,2020
271728961,Catholic Advocate,2014
271869914,ORGANIZE NOW INC,2018
271937961,ONE NATION,2016
272145405,CASA IN ACTION INC,2020
272189012,ENDING SPENDING INC,2018
272244700,HERITAGE ACTION FOR AMERICA,2018
272301175,Action For A Progressive Future,2020
272429741,CENTER FORWARD,2016
272572894,COMMITTEE FOR ISRAEL,2016
272753378,CROSSROADS GRASSROOTS POLICY STRATEGIES,2014
273352652,AMERICA INC,2014
273711817,SECUREAMERICANOWORG,2016
311796607,ASSOCIATION OF EQUIPMENT MANUFACTURERS,2024
320160436,FOOD & WATER ACTION FUND,2024
330358683,AMERICAN FIRST CREDIT UNION,2010
